lat,lon,name,category
55.7831211,37.7332937,Власова С.С.,Офис
55.7680355,37.6474366,Главное управление по вопросам миграции МВД России,Офис
55.7681361,37.6459767,Государственная инспекция по контролю за использованием объектов недвижимости г. Москвы,Офис
55.7688341,37.6427628,Без названия,Офис
55.765757,37.632161,Кафедра общественного здоровья и здравоохранения МГМСУ,Университет
55.7984358,37.5544343,Продюсерский Центр RUSMUSIC,Офис
55.7450265,37.6002787,Tescao,Офис
55.7484544,37.5980044,ЮрПартнер,Офис
55.7487056,37.5984038,Бест новострой,Офис
55.7625007,37.6254504,Корсик В. К.,Офис
55.7628515,37.6256915,Центрдорстрой,Офис
55.7696743,37.5847414,Ростехнадзор,Офис
55.7489819,37.6015474,Общественная приёмная министра обороны РФ,Офис
55.7672253,37.6408771,Росфинмониторинг,Офис
55.8140737,37.5765254,Лемикс,Офис
55.7720489,37.5859157,Studio Ventuno,Офис
55.7348137,37.5883421,"негосударственный пенсионный фонд ""Лукойл-Гарант""",Офис
55.7347887,37.5883513,Пенсионный фонд электроэнергетики,Офис
55.7319153,37.5750176,Cordiant,Офис
55.735866,37.5886242,Русская факторинговая компания,Офис
55.7358258,37.5886112,Строй-инвест Атропат,Офис
55.7358348,37.5885812,"Инвестиционная компания ""Спарта-финанс""",Офис
55.7256166,37.5851913,Оргмонтажпроект,Офис
55.7996529,37.5354018,Телефон.ру,Офис
55.7656259,37.6352434,Арсеева Ольга Владимировна,Офис
55.764941,37.622978,Представительство Красноярского края,Офис
55.7643402,37.6574429,Адвокатская контора,Офис
55.7509445,37.591592,ОДС Жилищник района Арбат,Офис
55.724084,37.6325281,Ирис Дизайн,Офис
55.7615408,37.6508718,Союз художников России,Офис
55.71734,37.59639,Росгосстрах,Офис
55.762367,37.610458,Аргументы недели,Офис
55.7678307,37.6658655,Военная коллегия адвокатов,Офис
55.7722147,37.5760042,Альянс,Офис
55.786826,37.5805953,RFG Русская Фильм Группа,Офис
55.7649691,37.7018144,МегаФон - Yota,Офис
55.7862041,37.5798051,Топ.Ри.Инвест,Офис
55.7403235,37.5801796,Театр Михаила Звездинского,Офис
55.7323448,37.5899782,Прокуратура ЦАО,Офис
55.7688781,37.6421393,Согаз,Офис
55.7997382,37.5307598,Pronetworking,Офис
55.7162817,37.6218724,Гемотест,Офис
55.732603,37.589312,Росавтур,Офис
55.7809879,37.6139941,НИИ Ипромашпром,Офис
55.7758118,37.5049612,ИФНС России №34 по г. Москве,Офис
55.7258556,37.6253143,Московский социальный регистр,Офис
55.7942391,37.5867898,МегаФон,Офис
55.7463412,37.5984443,ООО «ДипломТайм»,Офис
55.740532,37.62502,МГТС,Офис
55.7423992,37.5498469,Инком,Офис
55.7586241,37.7350183,Типография Виктория-Друк,Офис
55.7569872,37.6086066,Департамент государственной службы и кадров МВД России,Офис
55.7439025,37.6267033,Отклик,Офис
55.7363824,37.5903672,Coral Travel,Офис
55.7555384,37.7155918,Вычислительный центр МТУСИ,Офис
55.7947405,37.7100674,МосгорБТИ,Офис
55.7289562,37.5806568,Вычислительный центр Министерства обороны России,Офис
55.7372854,37.5908299,"ООО ""Ситибет""",Офис
55.7749107,37.6696706,"ООО ""Тех Принт""",Офис
55.7988369,37.5473484,Без названия,Офис
55.7501037,37.5344992,Департамент городского имущества г. Москвы,Офис
55.7461846,37.4924338,"ООО ""Омега-2""",Офис
55.7829447,37.6348027,Правовая звезда,Офис
55.7874621,37.6322611,Межтрансавто,Офис
55.7062309,37.6570156,T2,Офис
55.728502,37.6692432,Акадо,Офис
55.7549947,37.7090764,"НЦ ""Износостойкость""",Офис
55.8026552,37.6469204,StepDir,Офис
55.7309818,37.6182893,Договорно-правовой департамент МВД России,Офис
55.7307744,37.6184932,Финансово-экономический департамент МВД России,Офис
55.7215731,37.5723748,ГосВыписка,Офис
55.7113125,37.6111882,Водительская медкомиссия,Офис
55.7672884,37.5666002,"ООО ""ФЛЭТ и Ко""",Офис
55.7143794,37.6093183,Совет ветеранов,Офис
